"Cell","MOI","WF10PB2","WF10PB1","WF10PA","WF10HA","WF10NP","WF10NA","WF10M","WF10NS","Flu_RNA","TotalRNA","Flu_Prop","Test_Prop","WT","P3_NP","Test_Prop_Flu","Test_Prop_Cell","Test_Sum","Test_Log","Mean_Log","Mean_Gain","Mean_Sum","Cell.ID","Test_Gain","Threshold"
"MDCK",0.6,0,2,0,2,7,2,0,5,18,43753,0.000411400361118095,1,18,"0",1,0.000411400361118095,18,1.25527250510331,0,0,0,1955,0.00193619376303992,0.000113404936774418
"MDCK",0.6,0,1,0,1,4,0,3,2,11,26410,0.000416508898144642,1,11,"0",1,0.000416508898144642,11,1.04139268515823,0,0,0,1956,0.0124174344734738,0.000113404936774418
"MDCK",0.6,0,2,2,0,4,0,2,1,11,25925,0.000424300867888139,1,11,"0",1,0.000424300867888139,11,1.04139268515823,0,0,0,1957,0.0187078109932498,0.000113404936774418
"MDCK",0.6,1,0,1,2,5,1,0,2,12,28073,0.000427456987140669,1,12,"0",1,0.000427456987140669,12,1.07918124604762,0,0,0,1958,0.00743839923834932,0.000113404936774418
"MDCK",0.6,0,0,0,2,2,0,1,5,10,23262,0.000429885650416989,1,10,"0",1,0.000429885650416989,10,1,0,0,0,1959,0.00568165534634454,0.000113404936774418
"MDCK",0.6,0,1,1,6,12,0,1,7,28,64648,0.000433114713525554,1,28,"0",1,0.000433114713525554,28,1.44715803134222,0,0,0,1960,0.0075114466031432,0.000113404936774418
"MDCK",0.6,2,1,2,3,1,1,2,5,17,37780,0.000449973530968767,1,17,"1",1,0.000449973530968767,17,1.23044892137827,0,0,0,1961,0.0389246010738865,0.000113404936774418
"MDCK",0.6,0,1,0,0,5,1,2,5,14,30966,0.000452108764451334,1,14,"0",1,0.000452108764451334,14,1.14612803567824,0,0,0,1962,0.00474524241008161,0.000113404936774418
"MDCK",0.6,0,0,2,0,9,0,0,3,14,30896,0.000453133091662351,1,14,"0",1,0.000453133091662351,14,1.14612803567824,0,0,0,1963,0.00226566545831169,0.000113404936774418
"MDCK",0.6,1,1,1,1,2,0,0,2,8,17499,0.000457168981084633,1,8,"1",1,0.000457168981084633,8,0.903089986991944,0,0,0,1964,0.00890663139934527,0.000113404936774418
"MDCK",0.6,1,4,1,4,13,0,1,7,31,66221,0.000468129445342112,1,31,"1",1,0.000468129445342112,31,1.49136169383427,0,0,0,1965,0.0239746455052023,0.000113404936774418
"MDCK",0.6,0,0,2,2,1,0,1,5,11,23469,0.000468703395969151,1,11,"0",1,0.000468703395969151,11,1.04139268515823,0,0,0,1966,0.00122605111203667,0.000113404936774418
"MDCK",0.6,1,1,1,2,1,0,2,5,13,26476,0.000491010726695876,1,13,"1",1,0.000491010726695876,13,1.11394335230684,0,0,0,1967,0.0475937040750457,0.000113404936774418
"MDCK",0.6,0,0,0,3,1,0,0,1,5,9994,0.000500300180108065,1,5,"0",1,0.000500300180108065,5,0.698970004336019,0,0,0,1968,0.0189190437339326,0.000113404936774418
"MDCK",0.6,0,1,0,1,4,0,3,6,15,29813,0.000503136215744809,1,15,"0",1,0.000503136215744809,15,1.17609125905568,0,0,0,1969,0.00566866803072494,0.000113404936774418
"MDCK",0.6,0,3,2,0,3,0,1,1,10,19816,0.000504642712959225,1,10,"0",1,0.000504642712959225,10,1,0,0,0,1970,0.00299421343022472,0.000113404936774418
"MDCK",0.6,0,1,0,0,2,0,2,2,7,13178,0.000531188344210047,1,7,"0",1,0.000531188344210047,7,0.845098040014257,0,0,0,1971,0.0526028228866291,0.000113404936774418
"MDCK",0.6,0,2,0,0,2,0,3,2,9,16745,0.00053747387279785,1,9,"0",1,0.00053747387279785,9,0.954242509439325,0,0,0,1972,0.011832956532867,0.000113404936774418
"MDCK",0.6,0,1,0,3,14,1,6,3,28,52003,0.000538430475164894,1,28,"0",1,0.000538430475164894,28,1.44715803134222,0,0,0,1973,0.00177981184846177,0.000113404936774418
"MDCK",0.6,0,0,0,3,5,0,1,1,10,18323,0.000545762156852044,1,10,"0",1,0.000545762156852044,10,1,0,0,0,1974,0.0136167658134586,0.000113404936774418
"MDCK",0.6,1,2,0,0,1,0,1,3,8,14382,0.000556250869141983,1,8,"0",1,0.000556250869141983,8,0.903089986991944,0,0,0,1975,0.0192184675288553,0.000113404936774418
"MDCK",0.6,1,2,0,2,4,0,3,6,18,31694,0.000567930838644538,1,18,"0",1,0.000567930838644538,18,1.25527250510331,0,0,0,1976,0.020997665173219,0.000113404936774418
"MDCK",0.6,0,1,1,1,3,1,1,2,10,17122,0.000584043920102792,1,10,"0",1,0.000584043920102792,10,1,0,0,0,1977,0.0283715557632156,0.000113404936774418
"MDCK",0.6,2,0,1,0,6,0,2,2,13,22196,0.000585691115516309,1,13,"0",1,0.000585691115516309,13,1.11394335230684,0,0,0,1978,0.00282032798702471,0.000113404936774418
"MDCK",0.6,2,2,2,0,2,0,1,2,11,18508,0.000594337583747569,1,11,"1",1,0.000594337583747569,11,1.04139268515823,0,0,0,1979,0.0147628468354641,0.000113404936774418
"MDCK",0.6,1,1,1,0,3,1,1,13,21,34666,0.000605780880401546,1,21,"1",1,0.000605780880401546,21,1.32221929473392,0,0,0,1980,0.0192538667701651,0.000113404936774418
"MDCK",0.6,0,1,0,1,5,0,2,7,16,25422,0.000629376130910235,1,16,"0",1,0.000629376130910235,16,1.20411998265592,0,0,0,1981,0.0389501406730578,0.000113404936774418
"MDCK",0.6,1,1,0,2,4,0,1,4,13,20142,0.000645417535497964,1,13,"0",1,0.000645417535497964,13,1.11394335230684,0,0,0,1982,0.0254877867143283,0.000113404936774418
